"Ex1","Ex2","Ex3","Ex4"
1944,34683,1847,25939
2399,11866,2331,19888
1715,13979,1604,20617
2182,14431,2014,23396
1704,40330,1834,21543
2178,12992,2125,21645
2413,41251,1801,22508
2217,39839,2802,6430
1885,10637,1845,23503
1809,12254,2022,35664
1615,12273,1682,20220
1908,38332,2524,27608
2150,12609,1729,6965
1779,13476,1842,21935
1785,12895,1767,7094
2024,13018,1763,23401
1898,13386,2014,26614
1785,12325,1817,7213
1693,12701,1762,19735
1960,12449,1932,20467
1797,13006,2377,7126
2283,12599,1837,37977
2189,12263,1788,19184
1821,12077,1615,7389
1790,14255,2006,19530
2253,12047,1797,19707
1818,12960,2883,22847
1872,12391,2562,26858
1822,13098,2127,6941
1949,36676,2350,23207
1924,41976,1678,20029
2338,12353,1697,7409
1868,31590,1854,17571
2042,13006,1849,7357
1748,11516,1837,7069
2134,38941,2620,5914
2417,36040,1852,6345
1943,11814,1730,30201
1696,13051,2463,6383
1821,41157,2182,25363
1634,12677,2111,7286
1984,12586,1926,25486
1944,11676,2169,7648
1853,12505,1725,34328
1815,35749,1816,16617
2682,12825,2687,25253
1706,11675,2113,7389
2421,41943,1806,25517
2168,12203,1627,7180
2136,13122,1747,21004
2204,12580,1607,6877
1898,11963,1825,25992
1826,16085,2176,5764
2427,13278,1676,11925
2682,12208,2049,19836
1754,12653,2221,7345
1958,11659,2003,26054
2650,38332,1709,22123
1774,12615,2233,22996
2413,12531,1923,24818
2808,12442,1800,24703
1835,12112,2015,22708
1720,13332,1576,20358
2261,13215,1672,22074
1763,11522,1944,27218
1943,11922,1689,32878
2171,11810,1647,34027
1802,11349,1863,20763
1866,12581,1859,24123
1948,12439,1857,18387
1690,12262,2004,30189
2155,38962,1903,18285
1929,13040,2319,23998
1955,14332,1811,16554
1727,12207,2236,37707
1863,12052,2502,7444
1877,13774,1699,6696
1974,12275,2946,32593
1606,12043,2559,35814
2609,12690,1867,25120
1616,11923,1971,7264
2555,13642,1732,6333
2753,12201,2745,22927
1825,11968,1651,22970
2064,12673,1709,6768
1828,15166,1935,6064
1959,38719,1942,22883
2379,11500,2053,20833
2208,12090,2048,20607
1846,12289,2029,25358
2558,11823,1994,28305
1800,13086,1828,20178
1801,12627,1762,25149
1807,14629,1716,6185
1786,12379,1825,24100
1899,40427,2166,27718
1799,37607,1746,6747
1885,11674,1793,24510
2017,13690,2709,7852
2447,39310,1842,20355
2255,12670,2284,6423
1789,41539,1873,18061
1898,40438,2275,28534
2243,12388,1801,26073
2537,13821,1883,7151
1813,12427,1735,23841
1838,13267,2314,7318
1787,12584,1950,24489
1865,36012,2747,6466
1857,40780,1994,19629
1912,12600,1795,24324
2121,14759,2311,24083
1681,11801,1950,27776
2235,11575,2372,7409
1562,14629,1828,8810
1874,12746,1813,20978
1992,13784,1711,20525
2882,12166,1890,23426
1754,29030,1527,22665
2493,11536,1806,22453
1839,12385,1804,5981
2365,13463,1902,6661
1897,12499,1838,26750
2243,11722,1953,22849
2229,12003,1834,23275
1771,13046,2590,19978
1656,11704,2027,23025
1884,12709,2103,22951
1985,11616,1840,23762
2037,12004,1624,25592
2403,12565,2405,22303
2206,12685,1832,12490
2620,41772,1814,6747
1712,11774,1999,32352
2793,13236,1692,6495
1770,12348,1757,24553
1608,26598,1730,21297
2568,39477,1898,20841
1774,13004,1796,6593
1805,12796,1748,7200
1990,12394,1828,6630
2678,13146,1953,7255
1902,13129,1926,7109
1997,13113,2272,25033
1779,12360,1788,20142
1757,12144,2322,20005
1980,11748,2152,6981
2236,13061,1835,6896
2906,28764,1942,24544
1936,10886,2489,22731
2026,14021,2452,7623
1756,13031,1824,21137
1697,12791,2088,29790
2111,37468,2222,6164
1771,12698,1842,7108
1817,12225,1788,31924
1925,14999,2207,23095
2658,12885,2101,29214
2392,12274,2021,22052
1964,37645,1939,22037
1787,13437,2348,7155
1901,12384,2081,35721
2593,39447,2154,21650
1701,12602,1834,24208
1745,36879,1757,13133
1812,42748,1911,6653
1991,13261,1848,22730
2003,12482,2071,18413
1816,14663,2103,5999
2005,12403,1792,28226
2392,12145,1831,19043
1897,12455,1651,7263
1768,12692,2488,25023
1783,33904,1621,24561
2566,12016,2290,7709
1876,11559,2128,26472
1865,14825,1900,7985
1893,38434,2067,27941
2772,12855,1803,7147
1732,34780,2136,7013
1741,36841,2811,24952
2000,13144,1895,24852
1823,13082,1831,19259
2559,12011,1819,6843
1839,12226,1806,7520
1937,37134,1798,19344
1759,13747,2418,22226
1925,13313,1752,6657
2266,41567,1867,21208
1958,12520,1866,7503
2050,32130,1853,25200
1874,12767,1636,22097
1987,11524,1750,23524
1888,12446,1651,23204
1956,11948,1777,21600
2238,12750,2248,25951
2011,12817,1693,23996
2045,11884,1819,28119
1931,12129,2670,27024
1792,12039,1873,29789
2433,13217,1703,21789
2335,12109,2817,23669
1742,11755,1867,7125
2100,11608,2285,23973
2573,12456,2384,33153
1807,12278,1754,22891
1763,12642,1750,7260
2308,24783,2259,6249
1807,13513,1690,6100
1939,12736,1776,7514
1966,11971,2582,8946
1957,12404,1948,29220
1735,12674,1938,6526
1682,12322,2193,23447
1641,34231,1788,23406
1902,12469,1793,23102
1760,37364,1827,6461
1958,11844,2650,16889
1918,13175,2443,8214
1984,14947,2153,21375
2324,13504,1899,7207
2118,11493,1984,22756
1932,12244,2255,25816
1667,41256,1634,20402
2450,13109,1823,22075
1798,13187,2078,7009
1747,12172,1826,32360
1911,12689,1729,7043
1915,11999,2611,6609
2308,12698,1615,35142
2115,35050,3487,22086
2196,13016,1948,21281
2275,13785,1977,25585
2043,13760,1767,18142
2071,13362,1773,15284
1864,11949,1822,27335
2689,12233,2477,20171
1915,12800,2418,5953
2477,33308,1770,23152
1966,12886,1777,7675
1881,11841,2491,24627
1666,12241,2488,23859
1685,11708,1725,7803
1858,12397,2274,6065
2131,13034,2036,7342
1649,12165,1894,7044
2300,11366,1716,29523
1791,12671,2032,22913
1625,12502,2036,7008
2234,14762,1902,6923
1924,29540,2176,20422
2224,40630,1831,18113
2991,27132,1784,21137
1948,12429,2136,25981
1806,12722,1810,22334
1816,12436,1928,6789
1811,13160,1616,25083
1747,13156,1870,6956
1989,34640,1945,23357
1893,12406,1982,24054
1921,41801,1683,23640
2034,11338,2347,26995
2460,12524,1860,23959
1729,12143,1721,6236
1897,12012,2504,22614
1893,13689,1965,23321
1843,13017,1814,21771
2807,12361,2650,22223
2658,35138,2036,17852
1773,27430,1862,9791
2304,12684,2126,23824
1971,14064,1736,17267
1859,39069,1924,24669
1849,11967,2091,7110
1830,14405,1936,29198
1916,12826,2620,7237
1897,13039,2125,24202
2538,13980,1907,22608
1811,32298,1800,20066
1692,13938,2372,8057
2523,12166,1877,24765
2385,12174,1849,28248
2247,13446,2054,21689
2283,13071,1712,25708
1850,36815,1743,6601
2071,16480,1835,6458
2004,37557,2648,23398
1719,12228,1956,19591
2011,12610,1907,7319
1743,13565,1996,20603
1956,13215,2118,24458
1731,12499,2646,35711
2664,11507,1731,16914
1852,37977,2656,25016
1671,12112,1807,25811
2434,12240,1837,22337
1911,41201,1773,5642
1728,11743,1738,27905
2717,37613,1854,20830
1873,11369,1806,17137
2249,12653,2524,22186
1789,12504,2283,6830
2251,14939,2156,7822
1761,12026,1851,27473
2048,12991,2046,19906
1835,12537,1884,24739
2016,12979,1816,7123
1683,11623,1974,19436
1783,12680,1677,22502
2120,13777,1887,32663
1792,12180,1673,7269
1820,33466,2191,27615
2029,13115,1570,6635
1934,12634,2338,27763
1877,12461,1733,27395
1873,12493,2070,26969
1949,13090,1933,24050
1764,13565,2506,25316
1787,12206,1842,7181
1798,12879,1845,33334
1947,13044,1855,20987
1800,12102,2243,24449
2024,13513,24948,23414
1889,42590,1928,6588
1848,11984,1867,30022
1807,11820,1838,21226
2110,37816,1789,23997
1931,12578,2917,7335
1813,12493,2011,25568
2059,10567,2136,26390
2499,13324,1900,22697
1909,12290,1868,30764
17509,11473,2045,6869
1939,37825,1985,5959
1767,11829,2217,32376
2001,12992,1843,5705
1724,12239,1837,22032
2321,41433,1883,6190
1729,36733,1914,24996
2062,13460,1760,23285
2232,14091,2087,17020
1893,12223,1782,6541
2077,12436,1906,7599
1865,11591,1815,20635
1950,40126,2150,20347
2221,37317,1966,21709
1641,12606,2422,33452
1880,15556,1906,24354
2001,12112,1709,18910
1766,13232,1845,20003
1800,11693,1805,6289
1935,12677,2083,22220
2741,13121,1912,6857
1811,12334,1748,24000
2597,12858,1750,26358
2171,13074,1942,6890
2303,12660,2460,18559
2017,11688,1880,31268
2143,12295,1904,34522
2445,12521,2122,6831
2450,11466,2189,24131
1852,13406,2615,24466
2688,12490,1654,6979
2274,14088,2363,21310
2063,12260,1558,22186
2098,11788,2320,23431
1949,12419,1839,24576
1802,12669,2109,23074
1807,11443,2638,20611
2411,39231,1848,7159
1787,13195,2567,24582
1752,12685,1955,7198
2019,12019,2695,6696
1776,39119,2719,23704
1847,12417,3226,36518
1834,12629,1819,26047
2555,12374,1728,7576
2132,31558,1775,25163
1886,12991,2489,29608
1710,11678,1782,31008
2263,12476,1652,31619
1815,12073,1894,31961
2076,32482,1722,19583
2863,14654,1740,7237
2014,41173,1846,22850
1756,40703,1688,27081
1884,12341,1794,27850
2585,11485,2225,23676
2231,13837,1806,20614
2563,11878,1794,31248
1713,13880,1882,7363
1767,13296,2257,16905
1998,13182,1969,7760
2070,39450,1782,24656
1954,13609,1930,24390
2015,12389,1764,7436
2180,12288,1876,22613
2907,12279,1962,34993
2762,11809,1924,34203
2273,12300,1795,33134
2124,35812,1851,16942
2648,12299,2673,6628
1730,38145,1878,23765
1955,12734,2124,22345
2587,12213,2147,23538
1834,12637,1753,23769
1973,36420,1946,20380
2056,13821,1848,7314
2463,26094,1881,23063
1812,35556,1822,23980
1912,12112,2028,7081
2701,12836,1785,23494
2220,13731,2446,6775
1720,29859,1797,20810
1955,37910,1898,19759
2039,12399,1933,27116
1714,13022,1992,23970
1777,13384,2720,22808
1622,40141,1926,5833
1801,12404,1823,22578
2438,15467,1919,21402
1806,13897,1656,7453
1887,13368,1719,23653
1747,11943,1811,33661
2261,14698,2531,24468
2436,11807,1791,35774
1823,11843,2569,25514
1879,41586,1952,21132
1984,41503,1766,6136
1745,11662,1801,18819
2000,15513,2670,29595
1893,12091,1631,30300
2361,13007,2311,29555
2467,12416,1983,23572
2459,27203,1778,21430
2289,13146,2006,6973
2036,12174,2633,6161
1697,43501,1871,21811
1557,12504,1817,29919
2671,36989,1746,24445
1866,11944,1753,32827
1634,12407,1925,33371
1721,37894,1995,18520
1841,13100,2689,25353
2308,22293,1880,19785
1956,22994,1724,25345
2009,13399,1719,8303
1745,13337,2201,29668
1888,11275,2604,26025
1922,12586,1628,20897
1939,11931,2127,26277
2111,12645,1922,20438
1667,12613,1619,20605
1750,11524,1804,23344
2429,12113,1839,22087
1894,13014,1767,14061
1777,12151,2376,23563
2789,11980,1997,6533
1687,11772,1678,22250
1917,37917,2202,6260
1820,12407,2041,5725
2686,12059,1773,33722
1835,11882,1864,20093
1853,12940,1802,6694
1894,35361,1828,21662
1882,12513,1728,6323
1861,33447,2315,18036
2520,42824,1777,24313
1701,11780,2672,19475
1741,24797,1758,20474
1777,35677,1869,25064
2420,12327,2090,19348
2628,15139,1793,7368
1925,12175,1926,18269
1892,12340,1686,19459
1893,12187,2084,26838
1903,12525,1882,33124
1923,11662,1709,25900
1575,14212,1789,26350
2818,12675,1922,24533
2256,12678,1763,5850
1886,34598,2368,23306
2973,12676,2512,6653
1831,32354,2332,18103
1932,11506,1665,19323
1883,12098,2405,33491
1794,12280,1897,21284
1768,13637,2217,7382
1811,12429,1719,20729
2422,11947,1699,23752
1650,12574,2111,41058
1778,12693,1902,7371
2112,11700,2209,6813
2035,14306,1890,25418
1661,12849,2368,25845
1773,39438,1837,17612
1914,37600,1832,5917
1816,13102,2521,21394
2019,12147,1794,26421
2101,39030,1766,23013
2937,14261,1683,6362
2027,12610,2093,30392
2739,39035,1897,25420
1959,33113,2118,7243
1866,11443,2215,22559
1873,12324,2141,24468
2102,11690,1861,33193
1866,12003,2563,7393
1894,12271,2693,19141
2262,12029,1842,6915
1891,12979,3114,6200
1871,12494,1905,25133
2283,14540,1943,23218
1760,12043,1882,18122
1777,13047,1632,21762
2301,36078,2516,23779
1692,12348,2322,7047
2153,14853,1982,20530
2087,12336,1674,35834
1698,32901,1912,20308
1919,13112,2063,7368
1856,16860,1871,22055
1958,12265,1597,6942
1859,39135,1703,20070
2029,12065,1747,7012
1760,13404,2628,21297
2023,12465,2599,24126
1791,12228,2157,6673
1746,34357,1891,22338
1915,13324,2152,23205
1738,12411,2185,21310
2956,34023,1671,19646
1895,14175,1942,21196
1855,11281,2183,18461
1871,14746,2083,19643
2519,12852,1959,21753
2269,37725,2019,16350
2382,12392,1729,7053
1935,41765,2056,22614
1971,14578,1881,24218
1695,12467,1891,22082
1991,12332,1951,20710
2412,13316,2060,24781
2128,11670,2098,25274
1976,12639,1955,24949
1888,12011,2153,26177
1801,13286,2031,31323
1915,13235,1767,7376
2107,12093,1799,18576
2123,12285,1683,27338
1815,11897,1860,22911
1912,14634,1746,7933
2663,11877,1702,26763
2690,39218,2366,21196
1797,12313,1942,25189
2383,12408,1624,19565
1834,11971,2556,26577
2037,12494,2278,20885
2669,11719,1874,20670
1732,40288,2659,6387
1884,12644,1995,6201
2033,14116,1807,29243
1896,11386,1858,22994
1902,11940,1939,7259
1784,43567,1762,19687
2101,13621,1872,6521
1653,12241,2915,7248
1749,13117,1818,6621
1833,12349,1881,7385
2023,13832,2262,20857
1781,11334,2593,23273
2076,13260,1650,20070
1901,12477,2484,29157
1981,37181,1827,25662
1772,12426,3296,21491
1980,13502,1916,20858
1843,13306,1814,6312
1833,14572,1871,27796
1923,11591,1910,6789
1759,12137,1811,21389
2684,12939,1946,7143
2275,12687,2035,7398
1943,11205,1752,25157
2012,12700,1841,14491
2434,12561,1719,34579
1878,12067,2292,18632
1784,12004,1784,24350
2611,12194,2918,6260
2073,12908,1841,24897
1880,13579,1721,7769
1986,12487,2784,7459
2112,12145,1825,25550
1788,12999,1682,22543
2268,12226,1824,6610
1912,26083,3300,5883
1830,11850,2788,35283
2132,12192,1664,20272
1835,12331,1734,29783
1637,13203,2017,25307
2376,12248,1762,23978
1877,33430,1842,19798
1720,12769,2415,27950
2089,12502,2285,17679
2333,13024,1887,7335
2155,12224,1862,19178
1697,10884,2188,23184
1786,12566,2084,20007
1904,12131,2233,6736
1847,11811,2649,25332
1809,11851,1906,5963
1761,39069,1862,21586
1838,11520,1773,27313
2414,12712,2057,6573
2096,15045,2582,7666
1768,12186,2049,24714
1641,16448,1848,23356
1860,13042,1920,6440
2453,12105,1763,22700
2012,12538,1797,24346
2600,11359,2402,17905
1966,40421,1701,20771
1927,13823,1930,18942
1671,39522,2800,6370
1695,10961,1847,21703
2048,11983,2044,22468
1689,13377,1731,30055
1994,12813,2209,22869
2411,28727,2772,24181
2080,13725,1969,6867
1988,12861,2140,22990
1989,45077,1929,24789
2149,11678,1694,24027
2615,11553,1943,25220
1932,12098,1753,6987
1735,12309,1845,25641
2024,35405,1634,20629
2363,33508,1732,25251
1932,13563,2530,22692
1460,12367,3089,6394
2002,11817,1624,25827
2317,12527,1788,23584
1929,12619,1817,11667
1786,12562,2685,6665
1753,40320,2487,6119
1682,11727,1944,28782
1834,16776,2439,19427
2366,12355,1926,21208
1888,12217,1758,31147
2288,12342,1774,6651
2323,12901,2720,7438
1933,11949,1921,23267
2815,13486,2230,6860
1821,30249,2073,23412
1713,12306,1772,24961
1588,12470,2367,6986
1873,13726,1988,7558
2055,11438,2453,26022
2421,11808,2056,29885
2056,36253,1773,6601
1815,31220,1669,21813
2145,12150,1904,23864
1809,36186,2136,6744
2259,36509,1803,18150
2076,15798,2132,24086
2268,11926,1828,24848
2033,12286,2413,22906
3020,12015,1842,6261
1990,37640,2086,6343
1782,39304,2379,28269
1713,14683,1681,20317
1830,13355,2524,26022
1749,13938,1979,6573
2259,12386,1714,21499
2107,14498,2144,21784
1777,41794,1820,22200
1700,11912,2300,23652
1922,41689,1862,23108
1730,12602,1811,22134
2665,32471,2382,22872
2145,12687,1896,7279
1948,12783,1852,33363
2133,12709,1869,24528
1794,12341,2660,32918
2811,12780,1954,22806
1930,12350,1645,23435
2400,41227,2086,25756
1715,12190,1934,24044
1873,12106,1922,19840
2606,14475,2602,22545
1780,15697,2302,7818
1770,12363,2096,33382
2425,32280,1849,6701
2391,12460,2506,7442
1720,13358,1719,7290
2126,36536,1864,28801
2213,38846,1883,23217
1747,12636,1853,23942
1870,42581,1714,18738
2043,12463,2590,22340
1985,11977,1597,20769
1776,12979,2014,26420
2013,24377,1822,22201
1707,37444,1885,19681
1795,12868,1739,25785
2238,13327,1838,7104
1788,12739,2035,6576
1978,13159,1672,6190
1826,12492,1781,33706
1805,12337,1668,6971
1845,12361,2260,26427
1590,11756,1722,30149
2283,13393,1915,6442
2902,15510,1894,21442
1933,37261,2303,21378
1943,39908,1896,24115
1703,11285,1878,21823
1937,12611,2511,19359
2056,11863,2436,31746
1978,14277,2390,6796
2143,12788,1983,26776
2491,14911,1815,26586
1780,11711,2401,31606
2119,39580,1758,27123
2066,13201,2162,29607
2066,12660,1647,32900
1990,12209,2010,29579
2420,11973,1749,7358
1882,13099,1797,6677
2383,39270,1908,5571
2031,32240,1948,21239
2190,14871,2281,21365
1814,11366,1648,24772
2536,26168,1878,20454
2371,13391,1978,22100
1954,41068,2171,6104
1878,12092,2786,23103
1973,14632,1841,24511
1981,37678,1590,21108
1586,13988,2137,24016
2029,12474,2316,26432
1784,15075,1673,7882
1802,12620,1782,6622
1795,12458,2227,23243
1776,10402,1915,26956
1811,12377,1852,24295
1831,12870,2036,20466
1861,12102,2095,17132
2628,12306,2108,20031
1835,12349,1754,7138
1638,12829,2611,27661
1814,11759,1716,35696
1907,12370,2045,23293
1958,39327,1906,6613
1940,12382,1862,7328
1901,11159,2056,19210
2234,40997,2157,22082
2145,39091,2176,16926
1796,31391,1850,6954
1586,11812,2602,22562
1766,44854,1950,28400
1898,13156,1969,18193
2589,12148,1898,25299
1793,34117,2720,23526
1738,13164,1862,24319
2083,13190,1910,24733
1727,12435,2036,6835
2761,11838,1815,30841
1809,12234,1697,7155
2015,12007,2272,7559
1691,33819,2004,19843
2445,13646,1704,20640
2708,11885,2393,16996
2665,12634,1985,24445
2338,13578,1784,21291
1776,32347,1949,6336
1821,16346,2154,7542
1914,12379,2325,6726
1885,11854,2369,6800
1676,14430,2112,5911
1872,11800,1778,19117
1874,12319,1671,25068
2189,12259,1764,24697
1907,14994,2076,7965
2697,12531,1752,20917
2060,12997,1918,35147
2448,12626,1805,23390
1813,12948,1667,37918
2087,13205,2425,32309
2280,11746,1755,33245
1917,14124,1946,24450
1917,12784,2075,34220
1519,15195,1885,20236
1953,12999,1793,19693
1884,11540,1743,24994
2176,18168,1572,19299
2040,11518,1953,23640
1694,11879,1892,22658
1861,13205,1692,31998
2752,11688,2116,21047
2001,12031,2456,28897
1989,39156,1872,19950
2482,12633,2450,6652
2066,35487,1740,24032
1852,12394,1958,8159
1843,12129,1791,24417
1840,37427,2666,24991
1800,39074,2238,20684
2533,12195,1961,7788
1774,14614,1833,24209
1785,12758,1613,24296
2400,12900,2435,6587
1772,26867,1855,5857
1739,13282,1934,21655
1821,13978,1814,25052
1693,13200,1814,11432
2340,12948,1699,26486
1884,13126,2655,7225
2232,12640,2036,25224
2013,14107,2336,5868
1594,12417,1834,21789
1954,12144,1931,23592
1796,12323,2400,27213
1970,39806,1712,20775
2608,12096,2534,28999
1811,12171,2240,22782
1988,14887,2023,20679
2583,24328,1698,21137
2003,13112,2266,6518
1788,13712,1842,17989
2149,12615,1752,23999
2777,12931,1791,7246
1808,12494,1688,7107
1808,11811,2578,6795
2623,12992,2462,25069
2372,13244,1952,29262
1958,42322,2091,7027
1675,13226,2125,6721
1750,11850,1912,6961
2618,33175,2495,23362
1749,13488,2040,19889
2714,41106,1952,6402
1792,12351,2342,18440
1977,13119,1818,35042
2177,41640,1755,6599
1870,12974,1841,25350
1593,13001,2456,6781
1871,40538,1855,26280
1822,11350,1925,21265
2608,14518,2360,5932
1861,39889,1631,18564
2657,11739,1960,22918
1705,25779,2204,23489
1731,14608,2543,22969
1903,13172,1650,6699
1862,12173,2088,26049
2032,12807,2351,23215
2545,12072,1935,22470
1805,32394,2163,30095
1896,13447,2362,6439
1886,12759,2006,19278
1762,35453,1836,22260
1874,11544,2017,19615
1841,12333,2504,6829
1904,12526,1748,32755
1779,36594,2380,23016
1980,14687,2379,25483
1971,12229,2673,26087
1969,30720,1922,25137
1862,12444,1964,31567
1787,11592,2197,20679
2021,42349,2254,20994
2518,38847,1789,27506
2139,39125,1961,22999
3256,12425,1994,23323
1751,12163,2392,32683
1892,11772,3115,25256
1713,12543,1879,26652
1876,11901,1890,6964
1999,35500,2694,19194
1959,12911,2016,6840
1956,39367,1860,20839
2362,12143,2098,21975
2796,12805,1718,24354
1605,11904,2783,25117
2433,12192,1780,24033
1871,13480,2063,6034
1936,12365,1855,32337
2003,11886,1894,16781
1765,38631,1870,23402
1792,13151,1779,22967
2418,12399,1796,24408
1938,37312,1735,19584
2067,12017,2356,25305
2501,13092,2065,7678
1803,12344,1769,6617
2077,12793,1999,6784
1737,37841,2147,20517
1945,12161,1868,32379
1674,24688,2702,20097
1969,12684,2319,18023
2111,12600,2349,23332
2013,12803,2470,23011
1900,38335,2052,24003
2380,11577,1705,25937
1759,13219,2722,6907
1834,12768,2239,27408
2000,12264,2354,6699
2161,12368,1829,24793
2745,11821,2019,6907
2338,13358,1968,22848
1695,31443,1700,21527
2672,11822,2549,23077
2351,11389,1834,30012
1871,12066,1777,6784
1836,33472,1930,6267
2114,30528,1811,24516
1810,14394,1865,28756
1972,12347,1996,6680
1933,37924,2257,21579
1885,13666,2056,20052
1949,36493,1864,17799
1826,12008,1758,19977
1876,12204,1615,29507
2711,13051,1935,6991
1657,12166,1788,19961
2455,12606,2040,26286
1764,12112,1910,18342
2855,12802,2618,24815
2468,12345,1876,32045
1882,15790,1931,25051
1726,34634,2229,24437
1818,12481,1861,25348
2036,12718,2466,6986
1874,11983,1864,23650
2386,12443,2603,22691
2396,12266,1634,22187
1843,12343,2052,18053
1943,12281,1822,23385
2827,12071,1855,21144
1972,43289,1796,25022
1981,38650,1854,18563
2105,13532,1815,7580
1876,12085,2053,7353
1916,12382,2711,7345
2292,12473,1778,25377
1888,38103,1868,19099
1984,12901,1727,6652
1922,38175,1670,5702
1776,12310,1726,7219
1873,11639,2257,25642
1754,11695,1774,26267
2015,12464,1749,22548
2558,11733,1851,22029
2022,13647,2456,7565
1809,14280,1781,17945
2619,14089,1925,20941
1794,41413,1951,28795
1853,39909,1806,24452
1462,12247,1948,26944
1835,42379,2512,22584
1689,14040,1915,24363
2064,13947,2336,6904
2112,21585,2150,19653
1757,13488,1678,6878
2350,14551,1716,23904
2196,15364,2417,19328
1785,12659,2078,6906
1977,12008,1790,19955
1954,34774,1791,21526
2605,11814,2629,6058
2107,12485,1856,24377
2053,11931,1974,7138
1929,12162,1860,7013
1892,11701,1778,23049
2860,38235,2053,18765
1697,13504,1693,19939
2328,13726,2062,19663
1819,12612,1885,26032
1827,15204,1912,24866
2231,35134,1896,30341
2002,14117,1730,23340
1747,12167,2289,28025
2189,13590,2506,23457
1856,12044,1813,24415
1784,35052,1809,21696
2714,12259,2029,7076
2130,12850,2287,22273
1925,44200,1938,5442
2348,11506,1898,21401
1890,35296,1900,27633
1942,12978,2491,6194
2703,12653,1889,23708
2002,12900,1818,21616
1874,13463,2075,7269
1481,13189,2149,7070
1709,30318,2598,20169
2620,38254,2057,20159
2109,26193,1912,20285
2687,12712,1997,6568
1735,12851,1737,24643
1785,14675,2449,27777
2155,13572,2400,18643
2393,12907,2057,22005
2157,31305,2270,24953
2201,32256,1884,21805
1862,13136,1899,6996
1859,11800,1699,23700
1767,14238,1931,24629
1898,11806,2030,33363
1789,18764,1794,20029
1961,34726,1858,25435
1803,11780,1683,33484
2197,12789,1859,11438
1853,14464,1823,7471
1941,11370,2702,22820
2091,13039,2643,31064
1961,13590,1803,9565
1767,12940,2123,31930
1976,12192,2154,28406
1790,13347,2187,6939
1857,12924,1832,5874
1894,15196,1728,23756
2288,12269,1982,20447
1843,13582,1702,6382
1803,13983,1810,20888
2627,11816,1913,22679
2239,36359,1937,21646
1866,11943,1824,19824
2576,11800,2331,26186
2624,31338,1836,6727
1746,12804,1737,34188
2464,12585,1793,20688
1766,12162,2345,24853
